,Drug-Gene Pair Cluster,Dependency Path Cluster
622,1.0,16.0
623,4.0,0.0
624,18.0,46.0
625,16.0,51.0
626,16.0,0.0
627,15.0,0.0
628,2.0,0.0
629,18.0,0.0
630,23.0,89.0
631,0.0,97.0
632,6.0,0.0
633,15.0,0.0
634,15.0,0.0
635,26.0,54.0
636,8.0,61.0
637,23.0,3.0
638,18.0,0.0
639,14.0,0.0
640,19.0,0.0
641,14.0,22.0
642,18.0,89.0
643,2.0,89.0
644,2.0,0.0
645,18.0,0.0
646,14.0,0.0
647,18.0,0.0
648,19.0,7.0
649,26.0,0.0
650,15.0,45.0
651,18.0,45.0
652,2.0,0.0
653,22.0,0.0
654,10.0,0.0
655,14.0,0.0
656,0.0,51.0
657,19.0,121.0
658,23.0,103.0
659,21.0,0.0
660,15.0,0.0
661,26.0,101.0
662,23.0,124.0
663,12.0,0.0
664,4.0,3.0
665,2.0,3.0
666,18.0,77.0
667,18.0,0.0
668,13.0,28.0
669,4.0,99.0
670,2.0,90.0
671,2.0,56.0
672,18.0,0.0
673,23.0,0.0
674,0.0,0.0
675,14.0,0.0
676,28.0,0.0
677,8.0,0.0
678,0.0,0.0
679,19.0,0.0
680,22.0,0.0
681,29.0,0.0
682,14.0,61.0
683,18.0,0.0
684,18.0,28.0
685,15.0,115.0
686,2.0,0.0
687,8.0,0.0
688,28.0,0.0
689,21.0,119.0
690,14.0,0.0
691,18.0,80.0
692,14.0,27.0
693,13.0,59.0
694,14.0,0.0
695,5.0,59.0
696,0.0,59.0
697,18.0,70.0
698,7.0,49.0
699,15.0,22.0
700,14.0,70.0
701,0.0,49.0
702,18.0,59.0
703,9.0,59.0
704,25.0,59.0
705,7.0,2.0
706,15.0,59.0
707,20.0,59.0
708,15.0,59.0
709,13.0,47.0
710,2.0,59.0
711,4.0,49.0
712,2.0,30.0
713,14.0,2.0
714,15.0,2.0
715,18.0,11.0
716,0.0,49.0
717,5.0,2.0
718,23.0,2.0
719,24.0,80.0
720,29.0,59.0
721,18.0,59.0
722,0.0,38.0
723,22.0,59.0
724,0.0,59.0
725,19.0,59.0
726,25.0,59.0
727,0.0,59.0
728,14.0,2.0
729,2.0,59.0
730,20.0,59.0
731,14.0,2.0
732,2.0,2.0
733,18.0,2.0
734,10.0,22.0
735,14.0,23.0
736,4.0,7.0
737,28.0,0.0
738,2.0,113.0
739,23.0,107.0
740,14.0,7.0
741,28.0,0.0
742,16.0,89.0
743,6.0,118.0
744,2.0,0.0
745,23.0,0.0
746,18.0,0.0
747,14.0,0.0
748,2.0,30.0
749,24.0,0.0
750,27.0,0.0
751,8.0,28.0
752,14.0,21.0
753,23.0,38.0
754,26.0,23.0
755,23.0,17.0
756,23.0,0.0
757,8.0,0.0
758,7.0,0.0
759,14.0,0.0
760,0.0,87.0
761,25.0,86.0
762,17.0,80.0
763,18.0,0.0
764,18.0,0.0
765,23.0,54.0
766,23.0,54.0
767,2.0,54.0
768,2.0,54.0
769,18.0,31.0
770,6.0,97.0
771,15.0,97.0
772,7.0,97.0
773,28.0,86.0
774,14.0,24.0
775,14.0,11.0
776,7.0,81.0
777,29.0,97.0
778,2.0,24.0
779,11.0,31.0
780,7.0,24.0
781,1.0,97.0
782,0.0,0.0
783,4.0,0.0
784,23.0,0.0
785,1.0,48.0
786,10.0,98.0
787,23.0,0.0
788,27.0,0.0
789,8.0,0.0
790,18.0,99.0
791,27.0,0.0
792,9.0,0.0
793,18.0,0.0
794,9.0,100.0
795,22.0,72.0
796,18.0,0.0
797,29.0,0.0
798,18.0,0.0
799,0.0,0.0
800,23.0,0.0
801,2.0,0.0
802,22.0,0.0
803,21.0,87.0
804,23.0,0.0
805,4.0,0.0
806,23.0,15.0
807,22.0,35.0
808,14.0,0.0
809,2.0,53.0
810,19.0,123.0
811,23.0,65.0
812,6.0,0.0
813,2.0,0.0
814,23.0,0.0
815,8.0,116.0
816,15.0,0.0
817,14.0,0.0
818,24.0,69.0
819,13.0,0.0
820,0.0,0.0
821,14.0,0.0
822,5.0,0.0
823,23.0,20.0
824,1.0,81.0
825,3.0,0.0
826,23.0,0.0
827,14.0,0.0
828,23.0,95.0
829,0.0,0.0
830,0.0,0.0
831,2.0,24.0
832,2.0,0.0
833,2.0,0.0
834,18.0,0.0
835,0.0,0.0
836,23.0,0.0
837,14.0,69.0
838,26.0,95.0
839,23.0,108.0
840,4.0,100.0
841,14.0,118.0
842,2.0,0.0
843,2.0,65.0
844,12.0,0.0
845,23.0,0.0
846,22.0,0.0
847,18.0,0.0
848,22.0,119.0
849,14.0,123.0
850,3.0,77.0
851,18.0,34.0
852,23.0,0.0
853,23.0,0.0
854,2.0,107.0
855,23.0,105.0
856,18.0,121.0
857,23.0,4.0
858,23.0,0.0
859,23.0,0.0
860,24.0,67.0
861,2.0,80.0
862,18.0,30.0
863,14.0,0.0
864,24.0,9.0
865,14.0,86.0
866,15.0,87.0
867,14.0,0.0
868,4.0,0.0
869,23.0,0.0
870,4.0,67.0
871,14.0,55.0
872,25.0,55.0
873,18.0,108.0
874,14.0,108.0
875,18.0,108.0
876,27.0,108.0
877,18.0,108.0
878,23.0,48.0
879,18.0,38.0
880,2.0,108.0
881,18.0,24.0
882,4.0,55.0
883,15.0,55.0
884,22.0,55.0
885,18.0,55.0
886,2.0,0.0
887,29.0,122.0
888,11.0,0.0
889,25.0,0.0
890,14.0,0.0
891,23.0,99.0
892,2.0,8.0
893,23.0,0.0
894,8.0,0.0
895,23.0,26.0
896,25.0,0.0
897,7.0,0.0
898,23.0,61.0
899,23.0,0.0
900,14.0,102.0
901,23.0,102.0
902,10.0,48.0
903,4.0,0.0
904,4.0,0.0
905,22.0,0.0
906,2.0,0.0
907,14.0,0.0
908,2.0,42.0
909,20.0,0.0
910,2.0,102.0
911,2.0,0.0
912,13.0,0.0
913,28.0,0.0
914,2.0,2.0
915,16.0,99.0
916,14.0,3.0
917,22.0,60.0
918,20.0,0.0
919,29.0,0.0
920,18.0,0.0
921,14.0,0.0
922,29.0,0.0
923,27.0,0.0
924,29.0,122.0
925,0.0,0.0
926,0.0,0.0
927,18.0,12.0
928,25.0,0.0
929,18.0,0.0
930,6.0,12.0
931,3.0,0.0
932,2.0,0.0
933,27.0,95.0
934,12.0,80.0
935,14.0,0.0
936,22.0,0.0
937,13.0,77.0
938,15.0,0.0
939,14.0,0.0
940,22.0,0.0
941,2.0,69.0
942,11.0,0.0
943,23.0,0.0
944,22.0,0.0
945,2.0,0.0
946,12.0,56.0
947,22.0,0.0
948,26.0,58.0
949,18.0,76.0
950,6.0,85.0
951,14.0,63.0
952,8.0,35.0
953,3.0,23.0
954,19.0,0.0
955,22.0,0.0
956,23.0,0.0
957,18.0,0.0
958,14.0,109.0
959,2.0,0.0
960,14.0,0.0
961,24.0,20.0
962,18.0,0.0
963,9.0,20.0
964,23.0,29.0
965,9.0,119.0
966,2.0,57.0
967,14.0,56.0
968,14.0,0.0
969,2.0,24.0
970,8.0,51.0
971,2.0,93.0
972,0.0,0.0
